Sl No,R2_score,RMSE,Models,Type,R2_score,RMSE,Models,Type,R2_score,RMSE,Models,Type,R2_score,RMSE,Models,Type
235,0.688334996,0.532386986,GB,Testing,0.717715139,0.498682363,GB,Testing,0.978770751,0.28739228,GB,Testing,0.995515168,0.030568696,GB,Testing
236,0.708336847,0.620097531,GB,Testing,0.762022399,0.446556766,GB,Testing,0.975273174,0.312869014,GB,Testing,0.99732492,0.02406738,GB,Testing
237,0.609734906,0.673018719,GB,Testing,0.703616916,0.514283367,GB,Testing,0.969211031,0.356224938,GB,Testing,0.996893401,0.026493811,GB,Testing
238,0.786816856,0.43084641,GB,Testing,0.664851291,0.579626349,GB,Testing,0.974202086,0.326480249,GB,Testing,0.995602894,0.030872165,GB,Testing
239,0.825084159,0.362595285,GB,Testing,0.683508782,0.627653255,GB,Testing,0.974942813,0.306209107,GB,Testing,0.997075215,0.025333452,GB,Testing
240,0.692416578,0.524100547,GB,Testing,0.718328873,0.47868632,GB,Testing,0.975451913,0.316290909,GB,Testing,0.996976798,0.025452784,GB,Testing
241,0.99952513,0.023511221,AdaB,Training,0.999227533,0.025954315,AdaB,Training,0.999943866,0.015056154,AdaB,Training,0.999991581,0.001322591,AdaB,Training
242,0.999428116,0.026206141,AdaB,Training,0.999343393,0.023782227,AdaB,Training,0.999962904,0.012166743,AdaB,Training,0.999992385,0.001241794,AdaB,Training
243,0.999476362,0.025236242,AdaB,Training,0.999125232,0.02940714,AdaB,Training,0.999956954,0.013143482,AdaB,Training,0.999991264,0.001376055,AdaB,Training
244,0.999649974,0.0199065,AdaB,Training,0.999196153,0.027369773,AdaB,Training,0.999947188,0.014540227,AdaB,Training,0.999992913,0.001213223,AdaB,Training
245,0.999619414,0.020795268,AdaB,Training,0.999085373,0.029274316,AdaB,Training,0.999945717,0.014707402,AdaB,Training,0.999991277,0.001343685,AdaB,Training
246,0.999529118,0.022875924,AdaB,Training,0.999278324,0.025469476,AdaB,Training,0.999952382,0.013840379,AdaB,Training,0.999992692,0.001225371,AdaB,Training
247,0.999726493,0.016841401,AdaB,Training,0.999271605,0.025141954,AdaB,Training,0.99994458,0.014978104,AdaB,Training,0.999992446,0.001266681,AdaB,Training
248,0.999628652,0.020436386,AdaB,Training,0.999136566,0.029076981,AdaB,Training,0.999957715,0.013014757,AdaB,Training,0.999994132,0.001111304,AdaB,Training
249,0.999462956,0.024927484,AdaB,Training,0.999251764,0.027279563,AdaB,Training,0.999951329,0.013999765,AdaB,Training,0.999993486,0.001179912,AdaB,Training
250,0.999663569,0.019186008,AdaB,Training,0.999267952,0.026248896,AdaB,Training,0.999939813,0.015619726,AdaB,Training,0.999988685,0.001547458,AdaB,Training
251,0.999526299,0.022556264,AdaB,Training,0.99909034,0.029197891,AdaB,Training,0.99993459,0.016215557,AdaB,Training,0.999993649,0.001159479,AdaB,Training
252,0.999670817,0.01939207,AdaB,Training,0.999066263,0.030398747,AdaB,Training,0.999963473,0.012093326,AdaB,Training,0.999992611,0.001251715,AdaB,Training
253,0.999443136,0.024789973,AdaB,Training,0.999195385,0.028185737,AdaB,Training,0.999948386,0.014569068,AdaB,Training,0.999992303,0.001292339,AdaB,Training
254,0.999355156,0.025909425,AdaB,Training,0.999171313,0.026796814,AdaB,Training,0.999952919,0.01370983,AdaB,Training,0.999992422,0.001260555,AdaB,Training
255,0.999617411,0.021206561,AdaB,Training,0.999053482,0.028596002,AdaB,Training,0.999954235,0.013461524,AdaB,Training,0.999992985,0.001214197,AdaB,Training
256,0.999378931,0.024903061,AdaB,Training,0.999163054,0.028783728,AdaB,Training,0.999944507,0.01489195,AdaB,Training,0.999992458,0.001268789,AdaB,Training
257,0.999667558,0.018268878,AdaB,Training,0.99920333,0.02816925,AdaB,Training,0.999947869,0.014534181,AdaB,Training,0.999991423,0.001339759,AdaB,Training
258,0.999441039,0.024376912,AdaB,Training,0.99922006,0.026962007,AdaB,Training,0.999948401,0.014442026,AdaB,Training,0.999992253,0.001286191,AdaB,Training
259,0.999507511,0.023285727,AdaB,Training,0.99918749,0.027880225,AdaB,Training,0.999948802,0.014320191,AdaB,Training,0.999991753,0.001329628,AdaB,Training
260,0.999549207,0.022084666,AdaB,Training,0.999116306,0.027804284,AdaB,Training,0.999950206,0.014008657,AdaB,Training,0.999988599,0.001526005,AdaB,Training
261,0.999573763,0.022308075,AdaB,Training,0.999051763,0.030777779,AdaB,Training,0.999950589,0.013920313,AdaB,Training,0.999993947,0.001145974,AdaB,Training
262,0.999657575,0.01890045,AdaB,Training,0.999249818,0.026737548,AdaB,Training,0.999946135,0.014659831,AdaB,Training,0.999991751,0.001326093,AdaB,Training
263,0.99962466,0.020079372,AdaB,Training,0.999053757,0.029738028,AdaB,Training,0.999953154,0.013757523,AdaB,Training,0.999990991,0.001395045,AdaB,Training
264,0.999390139,0.026317713,AdaB,Training,0.999135326,0.028873117,AdaB,Training,0.999952447,0.013870211,AdaB,Training,0.999991853,0.001293315,AdaB,Training
265,0.999546232,0.022837951,AdaB,Training,0.999127281,0.028864277,AdaB,Training,0.999944131,0.014914025,AdaB,Training,0.999992686,0.001242848,AdaB,Training
266,0.999463803,0.023310562,AdaB,Training,0.999159847,0.028538655,AdaB,Training,0.999950403,0.014113255,AdaB,Training,0.99998993,0.001448932,AdaB,Training
267,0.999664708,0.018897643,AdaB,Training,0.9989955,0.030912551,AdaB,Training,0.999959321,0.012694896,AdaB,Training,0.999990621,0.001386719,AdaB,Training
268,0.999585333,0.021953574,AdaB,Training,0.999327502,0.024792657,AdaB,Training,0.999956691,0.01309252,AdaB,Training,0.9999926,0.001241808,AdaB,Training
269,0.999555832,0.023108607,AdaB,Training,0.999127248,0.026924022,AdaB,Training,0.999949273,0.014395315,AdaB,Training,0.999991597,0.001320327,AdaB,Training
270,0.999642083,0.02032796,AdaB,Training,0.999219364,0.027624725,AdaB,Training,0.999958947,0.012769095,AdaB,Training,0.999991261,0.00135221,AdaB,Training
271,0.568640916,0.609791051,AdaB,Testing,0.684163666,0.595930513,AdaB,Testing,0.984628576,0.244578676,AdaB,Testing,0.998813744,0.016105274,AdaB,Testing
272,0.956796935,0.180771932,AdaB,Testing,0.612228296,0.669644122,AdaB,Testing,0.986206399,0.235802056,AdaB,Testing,0.998801142,0.016698761,AdaB,Testing
273,0.821771848,0.352806174,AdaB,Testing,0.679933443,0.49980645,AdaB,Testing,0.98396111,0.251960845,AdaB,Testing,0.99909393,0.013175672,AdaB,Testing
274,0.840607304,0.391736681,AdaB,Testing,0.730236743,0.50633663,AdaB,Testing,0.986317228,0.233861395,AdaB,Testing,0.99770435,0.022419935,AdaB,Testing
275,0.722926123,0.513119915,AdaB,Testing,0.739596847,0.493527633,AdaB,Testing,0.98531502,0.24391827,AdaB,Testing,0.998002143,0.021008686,AdaB,Testing
276,0.815928836,0.434390671,AdaB,Testing,0.669104887,0.589333415,AdaB,Testing,0.99007264,0.197680456,AdaB,Testing,0.997508349,0.023692885,AdaB,Testing
277,0.76231495,0.544654491,AdaB,Testing,0.645137063,0.636825528,AdaB,Testing,0.985969225,0.232726006,AdaB,Testing,0.998247782,0.018941261,AdaB,Testing
278,0.790215184,0.454578899,AdaB,Testing,0.753587773,0.446379765,AdaB,Testing,0.98607585,0.235522339,AdaB,Testing,0.997381235,0.023484625,AdaB,Testing
279,0.889074768,0.313409441,AdaB,Testing,0.719915977,0.462033382,AdaB,Testing,0.989701193,0.200970535,AdaB,Testing,0.998460194,0.01758225,AdaB,Testing
280,0.817378078,0.443401231,AdaB,Testing,0.776773078,0.453817381,AdaB,Testing,0.987122978,0.222250687,AdaB,Testing,0.99916755,0.013129134,AdaB,Testing
281,0.89077279,0.352397087,AdaB,Testing,0.772358473,0.46059044,AdaB,Testing,0.988400616,0.213954022,AdaB,Testing,0.99740369,0.023180844,AdaB,Testing
282,0.768788769,0.464202357,AdaB,Testing,0.773839772,0.419234753,AdaB,Testing,0.984428905,0.249409298,AdaB,Testing,0.997401877,0.023125003,AdaB,Testing
283,0.819972121,0.434156852,AdaB,Testing,0.735195004,0.455532556,AdaB,Testing,0.987060561,0.217361985,AdaB,Testing,0.995760531,0.028411987,AdaB,Testing
284,0.776851363,0.524730559,AdaB,Testing,0.66657187,0.617978787,AdaB,Testing,0.988283842,0.216833141,AdaB,Testing,0.996991318,0.025311159,AdaB,Testing
285,0.795061789,0.412629382,AdaB,Testing,0.738531089,0.548620682,AdaB,Testing,0.983366845,0.2620263,AdaB,Testing,0.996883744,0.025675603,AdaB,Testing
286,0.725596058,0.611337857,AdaB,Testing,0.700819948,0.481670704,AdaB,Testing,0.987856478,0.220850897,AdaB,Testing,0.997310154,0.023290259,AdaB,Testing
287,0.684655194,0.65171417,AdaB,Testing,0.704919843,0.472848094,AdaB,Testing,0.974309818,0.314471227,AdaB,Testing,0.998522167,0.0177837,AdaB,Testing
288,0.813007792,0.467704383,AdaB,Testing,0.738455936,0.498396752,AdaB,Testing,0.978640606,0.287878874,AdaB,Testing,0.997323419,0.02320733,AdaB,Testing
289,0.793308109,0.467199205,AdaB,Testing,0.75158351,0.466533026,AdaB,Testing,0.986201234,0.23466059,AdaB,Testing,0.99865449,0.016345603,AdaB,Testing
290,0.834455656,0.429306518,AdaB,Testing,0.652559287,0.623395113,AdaB,Testing,0.972892954,0.336573104,AdaB,Testing,0.998900121,0.015855599,AdaB,Testing
291,0.79828693,0.414799663,AdaB,Testing,0.742884319,0.437239575,AdaB,Testing,0.988257071,0.222798067,AdaB,Testing,0.997969322,0.019670202,AdaB,Testing
292,0.838934,0.445001341,AdaB,Testing,0.772577888,0.448962627,AdaB,Testing,0.987178791,0.227517549,AdaB,Testing,0.99842436,0.017855248,AdaB,Testing
293,0.847718713,0.416026823,AdaB,Testing,0.756194988,0.479329643,AdaB,Testing,0.986933941,0.225317894,AdaB,Testing,0.996151446,0.027289335,AdaB,Testing
294,0.825871943,0.407155795,AdaB,Testing,0.704090057,0.502626571,AdaB,Testing,0.972099037,0.328139027,AdaB,Testing,0.997651405,0.023021513,AdaB,Testing
295,0.810303748,0.415348633,AdaB,Testing,0.670781279,0.538545594,AdaB,Testing,0.985297642,0.244392926,AdaB,Testing,0.997136606,0.024425552,AdaB,Testing
296,0.795926062,0.51869611,AdaB,Testing,0.732836309,0.473148372,AdaB,Testing,0.984357931,0.248843021,AdaB,Testing,0.999076597,0.014140219,AdaB,Testing
297,0.723850662,0.566134071,AdaB,Testing,0.748229892,0.473999469,AdaB,Testing,0.981690958,0.274700573,AdaB,Testing,0.998772799,0.016651741,AdaB,Testing
298,0.92650291,0.252977046,AdaB,Testing,0.717142774,0.532491872,AdaB,Testing,0.984218814,0.255349165,AdaB,Testing,0.996519295,0.027467382,AdaB,Testing
299,0.891390281,0.285720845,AdaB,Testing,0.713890845,0.596767042,AdaB,Testing,0.986719408,0.222925968,AdaB,Testing,0.998625746,0.017365246,AdaB,Testing
300,0.821812688,0.398906892,AdaB,Testing,0.721124618,0.476304779,AdaB,Testing,0.9872132,0.22827525,AdaB,Testing,0.996967939,0.025490049,AdaB,Testing
301,0.975478966,0.168949618,RF,Training,0.965239408,0.174105757,RF,Training,0.997649831,0.097420135,RF,Training,0.999675553,0.00821058,RF,Training
302,0.966640677,0.200150887,RF,Training,0.966985609,0.1686364,RF,Training,0.997442975,0.101013487,RF,Training,0.999651413,0.008401691,RF,Training
303,0.972477687,0.182958067,RF,Training,0.964593636,0.187088514,RF,Training,0.997730792,0.095429336,RF,Training,0.999696466,0.008111347,RF,Training
304,0.978365756,0.156786635,RF,Training,0.962805436,0.18617621,RF,Training,0.997698788,0.095980243,RF,Training,0.999763736,0.007004771,RF,Training
305,0.978365756,0.156786635,RF,Training,0.959475489,0.194860386,RF,Training,0.997432009,0.101157726,RF,Training,0.999687127,0.00804723,RF,Training
306,0.968207846,0.187967414,RF,Training,0.965010823,0.177343675,RF,Training,0.997472212,0.100839701,RF,Training,0.99978707,0.00661439,RF,Training
307,0.967399741,0.183867204,RF,Training,0.965108198,0.174011231,RF,Training,0.997576553,0.098798892,RF,Training,0.999685003,0.00817978,RF,Training
308,0.970798132,0.181225278,RF,Training,0.960577932,0.19647365,RF,Training,0.997852999,0.09273808,RF,Training,0.999807372,0.006367178,RF,Training
309,0.973852653,0.173935203,RF,Training,0.961457326,0.195789385,RF,Training,0.997764374,0.094882328,RF,Training,0.999673277,0.008356182,RF,Training
310,0.972094409,0.174735973,RF,Training,0.958579787,0.197445583,RF,Training,0.997476762,0.10113474,RF,Training,0.999678297,0.008251239,RF,Training
311,0.96583594,0.191557792,RF,Training,0.963454329,0.185067371,RF,Training,0.997521901,0.099809061,RF,Training,0.999798854,0.006525114,RF,Training
312,0.969666007,0.186153078,RF,Training,0.960080522,0.198763129,RF,Training,0.997671635,0.096552008,RF,Training,0.999790168,0.006670359,RF,Training
313,0.968632333,0.186055608,RF,Training,0.964589668,0.186982193,RF,Training,0.997828353,0.094502527,RF,Training,0.999713129,0.007889786,RF,Training
314,0.964281501,0.192831088,RF,Training,0.964652217,0.17475189,RF,Training,0.997748388,0.094810617,RF,Training,0.999784468,0.006722612,RF,Training
315,0.972028297,0.18132741,RF,Training,0.964652217,0.17475189,RF,Training,0.997859576,0.092061465,RF,Training,0.999751936,0.007220149,RF,Training
316,0.962464803,0.193598499,RF,Training,0.960143346,0.198631726,RF,Training,0.997713651,0.095587699,RF,Training,0.999726328,0.007642858,RF,Training
317,0.976662533,0.153066795,RF,Training,0.962670922,0.192823369,RF,Training,0.997860052,0.093119944,RF,Training,0.999682417,0.008152623,RF,Training
318,0.973193763,0.16881303,RF,Training,0.960847316,0.191030402,RF,Training,0.997816753,0.093942137,RF,Training,0.999662316,0.008491446,RF,Training
319,0.970407749,0.180501341,RF,Training,0.962938308,0.188297442,RF,Training,0.997779547,0.094307109,RF,Training,0.999732121,0.007578019,RF,Training
320,0.965440259,0.19336926,RF,Training,0.967529782,0.168540116,RF,Training,0.997686413,0.095488917,RF,Training,0.999643393,0.008534491,RF,Training
321,0.972009488,0.180776475,RF,Training,0.961577722,0.195916231,RF,Training,0.997570636,0.097607826,RF,Training,0.999708712,0.007949538,RF,Training
322,0.968811994,0.180377765,RF,Training,0.963589125,0.186274719,RF,Training,0.997440779,0.101048004,RF,Training,0.999653528,0.008594224,RF,Training
323,0.972482534,0.171926229,RF,Training,0.960330415,0.192548324,RF,Training,0.997648444,0.097472375,RF,Training,0.999683062,0.008274538,RF,Training
324,0.970509191,0.183010458,RF,Training,0.963588868,0.187363295,RF,Training,0.997709751,0.096257709,RF,Training,0.999695765,0.007903441,RF,Training
325,0.968666434,0.189777575,RF,Training,0.964735135,0.183482435,RF,Training,0.997623976,0.097260007,RF,Training,0.9997569,0.007165144,RF,Training
326,0.971058105,0.171259268,RF,Training,0.960476229,0.195741709,RF,Training,0.997797382,0.094052203,RF,Training,0.999656047,0.008468181,RF,Training
327,0.970075402,0.178529637,RF,Training,0.963608322,0.186063411,RF,Training,0.99799828,0.089052547,RF,Training,0.999657606,0.008378511,RF,Training
328,0.969269685,0.188990164,RF,Training,0.962964273,0.1839874,RF,Training,0.997523262,0.099009031,RF,Training,0.999806537,0.006349454,RF,Training
329,0.973300035,0.179165878,RF,Training,0.965613356,0.16900105,RF,Training,0.997463031,0.101802898,RF,Training,0.999707542,0.007789168,RF,Training
330,0.973690634,0.17428423,RF,Training,0.96212342,0.192423905,RF,Training,0.997990059,0.089346662,RF,Training,0.999705669,0.007847478,RF,Training
331,0.634203188,0.561541077,RF,Testing,0.711527938,0.569529806,RF,Testing,0.984683405,0.244142094,RF,Testing,0.998347299,0.019009735,RF,Testing
332,0.898748033,0.276742242,RF,Testing,0.674460284,0.613561349,RF,Testing,0.986557114,0.232785012,RF,Testing,0.99807876,0.021139329,RF,Testing
333,0.824900214,0.349696135,RF,Testing,0.691859297,0.490406527,RF,Testing,0.984679353,0.24625466,RF,Testing,0.998566448,0.016572908,RF,Testing
334,0.745179275,0.492083105,RF,Testing,0.754195285,0.483329221,RF,Testing,0.985976305,0.236756943,RF,Testing,0.997760648,0.022143319,RF,Testing
335,0.745179275,0.492083105,RF,Testing,0.754225496,0.479464844,RF,Testing,0.986395746,0.234771307,RF,Testing,0.998169421,0.020109946,RF,Testing
336,0.813473386,0.437278388,RF,Testing,0.692584006,0.568040262,RF,Testing,0.988570628,0.212108481,RF,Testing,0.997059377,0.025739141,RF,Testing
337,0.747403034,0.561479909,RF,Testing,0.679194875,0.605495322,RF,Testing,0.984544265,0.246232707,RF,Testing,0.997945829,0.020508462,RF,Testing
338,0.720111723,0.525066852,RF,Testing,0.743705087,0.455243094,RF,Testing,0.98549461,0.240387822,RF,Testing,0.99700092,0.025132136,RF,Testing
339,0.826247005,0.39225009,RF,Testing,0.749502645,0.436949009,RF,Testing,0.98749519,0.221450914,RF,Testing,0.99764001,0.021766899,RF,Testing
340,0.7985979,0.465642313,RF,Testing,0.785602321,0.444751969,RF,Testing,0.987393088,0.219907353,RF,Testing,0.998823613,0.015607459,RF,Testing
341,0.768957494,0.512522377,RF,Testing,0.763931445,0.469038234,RF,Testing,0.988617242,0.211946737,RF,Testing,0.996753495,0.025921432,RF,Testing
342,0.739178021,0.493031846,RF,Testing,0.785603571,0.408185839,RF,Testing,0.986109066,0.235569356,RF,Testing,0.996297123,0.027607153,RF,Testing
343,0.798609982,0.459193518,RF,Testing,0.736719486,0.454219414,RF,Testing,0.986779724,0.219708133,RF,Testing,0.99746358,0.021976394,RF,Testing
344,0.799731604,0.497101928,RF,Testing,0.739723459,0.547368322,RF,Testing,0.986301439,0.234460952,RF,Testing,0.996978476,0.02536512,RF,Testing
345,0.772225602,0.435011895,RF,Testing,0.739723459,0.547368322,RF,Testing,0.983823069,0.258407811,RF,Testing,0.99649902,0.027214412,RF,Testing
346,0.82418961,0.489337373,RF,Testing,0.707816996,0.476004864,RF,Testing,0.986551918,0.232411181,RF,Testing,0.997635175,0.021837862,RF,Testing
347,0.689133462,0.647070068,RF,Testing,0.713737009,0.465730031,RF,Testing,0.972661308,0.324403997,RF,Testing,0.998468914,0.018101277,RF,Testing
348,0.777381853,0.510316919,RF,Testing,0.751102258,0.486198088,RF,Testing,0.978020765,0.292026068,RF,Testing,0.998476294,0.017509977,RF,Testing
349,0.814175277,0.442988164,RF,Testing,0.746333456,0.471437124,RF,Testing,0.985723807,0.238685617,RF,Testing,0.997702506,0.021359182,RF,Testing
350,0.786994147,0.486974339,RF,Testing,0.652194748,0.623722064,RF,Testing,0.987446615,0.229043906,RF,Testing,0.998755615,0.016865047,RF,Testing
351,0.799825003,0.413215202,RF,Testing,0.786353904,0.398568215,RF,Testing,0.988241708,0.222943764,RF,Testing,0.997764067,0.02064038,RF,Testing
352,0.788799769,0.509573199,RF,Testing,0.714615393,0.502931825,RF,Testing,0.982681359,0.264427921,RF,Testing,0.996660173,0.02599557,RF,Testing
353,0.757408292,0.525092771,RF,Testing,0.731285986,0.503220276,RF,Testing,0.98664346,0.227808734,RF,Testing,0.99735038,0.022643101,RF,Testing
354,0.822260919,0.41135588,RF,Testing,0.714282432,0.493894439,RF,Testing,0.970830626,0.335514925,RF,Testing,0.99788568,0.021843148,RF,Testing
355,0.752814936,0.474126821,RF,Testing,0.753141057,0.466342126,RF,Testing,0.986093673,0.237684774,RF,Testing,0.997063222,0.024736565,RF,Testing
356,0.758456071,0.564309397,RF,Testing,0.747308212,0.460155055,RF,Testing,0.981310821,0.272002864,RF,Testing,0.998711818,0.016701256,RF,Testing
357,0.727693438,0.562181232,RF,Testing,0.749183433,0.473101018,RF,Testing,0.976017333,0.314394895,RF,Testing,0.997947901,0.021532826,RF,Testing
358,0.851454427,0.359646554,RF,Testing,0.680162369,0.566231628,RF,Testing,0.982159616,0.271498056,RF,Testing,0.99693008,0.025795689,RF,Testing
359,0.864696222,0.318905892,RF,Testing,0.707797651,0.603088163,RF,Testing,0.984933122,0.2374453,RF,Testing,0.99816769,0.020051502,RF,Testing
360,0.76295169,0.46009931,RF,Testing,0.754451432,0.44693931,RF,Testing,0.982516109,0.266929721,RF,Testing,0.998039422,0.020497165,RF,Testing
361,1,6.76E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,1.77E-17,DT,Training,1.00E+00,0.00E+00,DT,Training
362,1,5.77E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training
363,1,6.02E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training
364,1,5.75E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training
365,1,5.02E-17,DT,Training,1.00E+00,5.02E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training
366,1,6.85E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,1.77E-17,DT,Training,1.00E+00,0.00E+00,DT,Training
367,1,5.10E-17,DT,Training,1.00E+00,1.54E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training
368,1,5.68E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,8.87E-18,DT,Training,1.00E+00,0.00E+00,DT,Training
369,1,3.88E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,1.77E-17,DT,Training,1.00E+00,0.00E+00,DT,Training
370,1,5.08E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,3.07E-17,DT,Training,1.00E+00,0.00E+00,DT,Training
371,1,5.21E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training
372,1,7.28E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training
373,1,4.39E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,3.07E-17,DT,Training,1.00E+00,0.00E+00,DT,Training
374,1,3.07E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training
375,1,7.06E-17,DT,Training,1.00E+00,3.55E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training
376,1,2.47E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training
377,1,2.36E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,1.77E-17,DT,Training,1.00E+00,0.00E+00,DT,Training
378,1,6.93E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,2.51E-17,DT,Training,1.00E+00,0.00E+00,DT,Training
379,1,4.17E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training
380,1,5.31E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training
381,1,7.03E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training
382,1,3.99E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training
383,1,3.72E-17,DT,Training,1.00E+00,3.55E-17,DT,Training,1.00E+00,3.55E-17,DT,Training,1.00E+00,0.00E+00,DT,Training
384,1,6.69E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,8.87E-18,DT,Training,1.00E+00,0.00E+00,DT,Training
385,1,6.80E-17,DT,Training,1.00E+00,5.02E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training
386,1,2.67E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,1.77E-17,DT,Training,1.00E+00,0.00E+00,DT,Training
387,1,2.97E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training
388,1,6.21E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training
389,1,6.78E-17,DT,Training,1.00E+00,1.77E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training
390,1,7.18E-17,DT,Training,1.00E+00,5.02E-17,DT,Training,1.00E+00,0.00E+00,DT,Training,1.00E+00,0.00E+00,DT,Training
391,0.504019839,0.653873483,DT,Testing,0.586134224,0.6821727,DT,Testing,0.971134778,0.335157542,DT,Testing,0.99748582,0.023446454,DT,Testing
392,0.608774177,0.543985693,DT,Testing,0.487159104,0.770100363,DT,Testing,0.97591858,0.311565823,DT,Testing,0.997821594,0.022509705,DT,Testing
393,0.711275988,0.449044599,DT,Testing,0.491224133,0.630151477,DT,Testing,0.973831842,0.321834409,DT,Testing,0.996712836,0.025095896,DT,Testing
394,0.173434905,0.892069233,DT,Testing,0.574257071,0.636094543,DT,Testing,0.977323307,0.301065754,DT,Testing,0.99705542,0.025391782,DT,Testing
395,0.666818341,0.562680187,DT,Testing,0.594059267,0.616197129,DT,Testing,0.976388053,0.309295461,DT,Testing,0.995046625,0.033080134,DT,Testing
396,0.649815341,0.599150835,DT,Testing,0.546063327,0.6902613,DT,Testing,0.971495927,0.33496567,DT,Testing,0.9955091,0.031808343,DT,Testing
397,0.644031598,0.666539482,DT,Testing,0.46942131,0.778690802,DT,Testing,0.965350171,0.365724993,DT,Testing,0.997593256,0.022198813,DT,Testing
398,0.370256853,0.787596852,DT,Testing,0.422734347,0.683221039,DT,Testing,0.976636583,0.30508155,DT,Testing,0.994844953,0.032949718,DT,Testing
399,0.483594182,0.676226935,DT,Testing,0.561678086,0.577997259,DT,Testing,0.975972121,0.306970498,DT,Testing,0.995920525,0.028618287,DT,Testing
400,0.80970034,0.452625948,DT,Testing,0.559322413,0.637629381,DT,Testing,0.974639163,0.311901301,DT,Testing,0.997338008,0.023477962,DT,Testing
401,0.296308252,0.894454221,DT,Testing,0.541188643,0.653892346,DT,Testing,0.978134144,0.293755651,DT,Testing,0.996201746,0.028037738,DT,Testing
402,0.276665498,0.821055414,DT,Testing,0.568714058,0.578937673,DT,Testing,0.978516648,0.292957142,DT,Testing,0.994915603,0.032349807,DT,Testing
403,0.732026928,0.529690709,DT,Testing,0.610359623,0.552571284,DT,Testing,0.974628865,0.304365776,DT,Testing,0.994402341,0.032647435,DT,Testing
404,0.662220834,0.645588324,DT,Testing,0.61462914,0.664372864,DT,Testing,0.976707033,0.305735211,DT,Testing,0.996171641,0.028551585,DT,Testing
405,0.506344083,0.640414051,DT,Testing,0.459469477,0.788809728,DT,Testing,0.972326793,0.337977125,DT,Testing,0.993886147,0.035963471,DT,Testing
406,0.787576197,0.537882862,DT,Testing,0.378867773,0.69402633,DT,Testing,0.981600483,0.271850445,DT,Testing,0.99364665,0.035794146,DT,Testing
407,0.611319827,0.72353662,DT,Testing,0.291519294,0.732682222,DT,Testing,0.957326489,0.40529992,DT,Testing,0.996003307,0.029245554,DT,Testing
408,0.479678887,0.780181072,DT,Testing,0.527813364,0.669668104,DT,Testing,0.970164583,0.340236883,DT,Testing,0.995538244,0.029963175,DT,Testing
409,0.79635131,0.463747078,DT,Testing,0.630901804,0.5686737,DT,Testing,0.972199066,0.333080903,DT,Testing,0.996527981,0.026257204,DT,Testing
